customer_id,last_order_date,frequency,monetary,recency_days,R,F,M,segment
1,2025-09-08,6,465.2,203,3,3,3,Loyal
2,2025-09-17,5,204.85,194,3,2,2,Loyal
3,2024-08-06,2,61.83,601,1,1,1,Lost
4,2025-01-24,8,272.17,430,1,3,3,At-risk
5,2026-02-20,21,2833.5499999999997,38,5,5,5,VIP
6,2024-06-24,2,54.41,644,1,1,1,Lost
7,2025-05-26,11,955.12,308,2,4,4,At-risk
8,2025-06-10,10,569.61,293,2,4,4,At-risk
9,2026-01-09,18,1355.85,80,4,5,5,VIP
10,2026-01-18,2,125.28,71,4,1,1,Loyal
11,2025-10-06,6,541.43,175,3,3,4,Loyal
12,2024-08-06,4,89.92,601,1,2,1,Lost
13,2025-11-22,7,306.11,128,3,3,3,Loyal
14,2025-02-12,5,156.07,411,1,2,2,Lost
15,2026-01-03,4,200.45,86,4,2,2,Loyal
16,2026-02-13,12,633.94,45,5,4,4,VIP
17,2025-05-31,5,368.65999999999997,303,2,2,3,At-risk
18,2025-12-10,22,2137.77,110,4,5,5,VIP
19,2025-02-28,8,674.13,395,2,3,4,At-risk
20,2025-07-02,3,113.48,271,2,1,1,Lost
21,2024-12-07,5,353.79,478,1,2,3,At-risk
22,2026-01-31,2,197.66,58,4,1,2,Loyal
23,2024-08-14,3,147.46,593,1,1,2,Lost
24,2024-06-26,3,150.59,642,1,1,2,Lost
25,2025-04-17,6,562.76,347,2,3,4,At-risk
26,2025-12-20,13,797.47,100,4,4,4,VIP
27,2026-01-12,2,103.97,77,4,1,1,Loyal
28,2026-03-25,35,7956.73,5,5,5,5,VIP
29,2026-01-09,10,545.41,80,4,4,4,VIP
30,2025-04-23,6,549.51,341,2,3,4,At-risk
31,2025-05-14,9,698.57,320,2,4,4,At-risk
32,2024-06-10,2,48.290000000000006,658,1,1,1,Lost
33,2026-01-28,6,500.02,61,4,3,3,Loyal
34,2025-07-27,6,257.96,246,2,3,2,At-risk
35,2025-12-28,5,296.43,92,4,2,3,Loyal
36,2026-01-26,15,1015.88,63,4,5,4,VIP
